Created	03/05/16 16:42:17
Calibration	antiwindup1_013_000

Timestamp (mS)	Accelerator_Pedal_Position	Electronic_Throttle_feedback	Error	
        47	0.00	4.86	-2.14	
       109	0.00	3.20	-1.41	
       172	0.00	3.33	-2.82	
       265	0.00	2.56	-0.59	
       296	9.68	8.45	-0.59	
       359	14.47	13.44	1.03	
       421	26.80	24.06	1.77	
       484	38.73	37.89	0.36	
       546	49.29	49.02	0.36	
       608	58.68	58.11	0.23	
       671	63.77	63.62	-0.32	
       733	66.60	66.18	-0.32	
       796	67.09	67.84	-0.88	
       858	67.09	67.84	-0.75	
       920	66.31	67.97	-1.07	
       983	59.66	61.70	-1.57	
      1045	48.41	50.69	-1.20	
      1108	31.10	35.20	0.60	
      1170	7.14	9.60	-1.07	
      1232	0.00	1.15	2.30	
      1295	0.00	0.38	1.79	
      1357	0.00	1.15	1.54	
      1420	2.64	3.58	1.02	
      1482	12.13	8.19	3.26	
      1544	23.37	23.42	0.45	
      1607	36.28	34.69	1.68	
      1669	48.41	46.46	1.75	
      1732	58.29	57.98	1.12	
      1794	64.55	64.51	0.55	
      1856	66.41	66.69	0.29	
      1919	66.50	66.94	-0.44	
      1981	66.60	67.07	-0.67	
      2044	66.50	67.20	-0.60	
      2106	66.41	67.20	-0.70	
      2168	66.41	67.20	-0.57	
      2231	66.60	66.94	-0.67	
      2293	66.50	67.07	-0.54	
      2356	66.41	66.94	-0.67	
      2418	66.31	67.20	-0.67	
      2480	66.50	67.07	-0.57	
      2543	66.50	67.20	-0.60	
      2605	66.50	67.07	-0.57	
      2668	66.60	67.20	-0.67	
      2730	66.41	67.20	-0.60	
      2792	66.50	67.20	-0.70	
      2855	66.41	67.07	-0.67	
      2917	66.50	67.20	-0.54	
      2980	65.82	67.33	-1.12	
      3042	64.35	66.18	-1.27	
      3104	58.19	60.42	-1.74	
      3167	43.23	47.62	-1.81	
      3229	22.20	30.08	-2.76	
      3292	2.05	8.19	1.03	
      3354	0.00	3.84	1.54	
      3416	0.00	3.20	-0.90	
      3479	0.00	2.82	-2.56	
      3541	0.00	0.90	-3.46	
      3604	3.42	0.51	-1.18	
      3666	14.08	13.18	2.17	
      3728	25.53	24.06	1.25	
      3791	40.68	36.35	2.55	
      3853	58.39	48.90	6.70	
      3916	72.37	60.03	11.36	
      3978	82.74	69.38	12.96	
      4040	86.26	79.10	2.01	
      4103	86.55	86.91	2.01	
      4165	86.16	87.81	-1.35	
      4228	84.50	85.89	-1.92	
      4290	81.86	83.71	-1.90	
      4352	77.56	78.46	-2.29	
      4415	72.96	74.62	-2.21	
      4477	68.95	69.76	-2.61	
      4540	65.72	67.71	-1.15	
      4602	64.55	65.92	-1.15	
      4664	64.55	65.79	-1.24	
      4727	64.45	65.66	-1.24	
      4789	64.55	65.79	-1.24	
      4852	64.65	65.92	-1.27	
      4914	64.55	65.79	-1.24	
      4976	64.55	65.79	-1.24	
      5039	64.55	65.79	-1.24	
      5101	64.55	65.79	-1.24	
      5164	64.55	65.79	-1.15	
      5226	64.55	65.79	-1.24	
      5288	64.55	65.79	-1.15	
      5351	64.55	65.79	-1.15	
      5413	64.55	65.79	-1.24	
      5476	64.65	65.79	-1.15	
      5538	64.65	65.92	-1.27	
      5600	64.55	65.79	-1.27	
      5663	64.55	65.79	-1.24	
      5725	64.65	65.79	-1.24	
      5788	64.55	65.79	-1.24	
      5850	64.55	65.79	-1.24	
      5912	64.55	65.79	-1.24	
      5975	64.74	65.92	-1.27	
      6037	64.55	65.79	-1.37	
      6100	64.55	65.79	-1.24	
      6162	64.55	65.79	-1.24	
      6224	64.55	65.79	-1.24	
      6287	64.55	65.79	-1.15	
      6349	64.55	65.79	-1.24	
      6412	64.55	65.79	-1.24	
      6474	64.55	65.79	-1.15	
      6536	64.55	65.79	-1.24	
      6599	64.55	65.79	-1.15	
      6661	64.65	65.92	-1.27	
      6724	64.65	65.92	-1.27	
      6786	64.55	65.79	-1.15	
      6848	64.65	65.79	-1.24	
      6911	64.74	66.05	-1.24	
      6973	64.65	65.92	-1.27	
      7036	64.55	65.79	-1.15	
      7098	64.65	65.92	-1.24	
      7160	64.55	65.79	-1.27	
      7223	64.55	65.79	-1.15	
      7285	64.65	65.79	-1.24	
      7348	64.55	65.79	-1.24	
      7410	64.55	65.79	-1.15	
      7472	64.55	65.79	-1.15	
      7535	64.55	65.79	-1.15	
      7597	64.55	65.79	-1.15	
      7660	64.65	65.79	-1.27	
      7722	64.65	65.79	-1.15	
      7784	64.65	65.79	-1.24	
      7847	64.55	65.79	-1.15	
      7909	64.55	65.79	-1.15	
      7972	64.65	65.79	-1.15	
      8034	64.65	65.92	-1.15	
      8096	64.65	65.92	-1.15	
      8159	64.65	65.79	-1.15	
      8221	64.74	65.79	-1.15	
      8284	64.65	65.79	-1.24	
      8346	64.55	65.79	-1.24	
      8408	64.65	65.79	-1.15	
      8471	64.55	65.79	-1.15	
      8533	64.55	65.79	-1.15	
      8596	64.55	65.79	-1.15	
      8658	64.65	65.79	-1.15	
      8720	64.65	65.79	-1.15	
      8783	64.65	65.79	-1.15	
      8845	64.55	65.66	-1.24	
      8908	64.65	65.79	-1.02	
      8970	64.55	65.66	-1.15	
      9032	64.65	65.79	-1.15	
      9095	64.65	65.79	-1.24	
      9157	64.65	65.92	-1.02	
      9220	64.65	65.79	-1.15	
      9282	64.74	65.79	-1.15	
      9344	64.65	65.79	-1.02	
      9407	64.65	65.79	-1.15	
      9469	64.55	65.92	-1.12	
      9532	64.55	65.66	-1.02	
      9594	64.65	65.66	-1.12	
      9656	64.65	65.79	-1.15	
      9719	64.55	65.66	-1.12	
      9781	64.55	65.66	-1.02	
      9844	64.55	65.66	-1.02	
      9906	64.65	65.79	-1.02	
      9968	64.65	65.66	-1.15	
     10031	64.55	65.66	-1.02	
     10093	64.55	65.66	-1.02	
     10156	64.65	65.66	-1.02	
     10218	64.55	65.66	-1.15	
     10280	64.65	65.66	-1.02	
     10343	64.65	65.79	-1.15	
     10405	64.55	65.66	-1.15	
     10468	64.55	65.66	-1.02	
     10530	64.65	65.66	-1.02	
