Created	03/05/16 16:40:45
Calibration	antiwindup1_013_000

Timestamp (mS)	Accelerator_Pedal_Position	Electronic_Throttle_feedback	Error	
        15	93.11	92.29	0.17	
        78	91.93	92.54	0.17	
       140	87.82	89.09	-1.84	
       203	80.00	81.02	-2.23	
       265	66.70	68.86	-3.21	
       327	47.24	51.58	-5.31	
       390	26.41	33.66	-3.81	
       452	15.84	18.43	-0.58	
       515	13.59	13.31	1.97	
       577	18.58	15.62	1.97	
       639	34.23	28.42	3.21	
       702	51.35	42.24	7.34	
       764	70.51	54.78	13.08	
       827	86.55	64.90	20.45	
       889	94.38	74.50	20.55	
       951	99.07	83.58	16.33	
      1014	99.76	91.78	9.86	
      1076	99.66	99.58	1.23	
      1139	99.36	99.33	0.10	
      1201	99.36	99.20	0.16	
      1263	99.56	99.20	0.16	
      1326	99.46	99.33	0.20	
      1388	99.36	99.20	0.16	
      1451	99.46	99.20	0.13	
      1513	99.46	99.20	0.16	
      1575	99.46	99.33	0.20	
      1638	99.46	99.20	0.26	
      1700	99.46	99.20	0.26	
      1763	99.46	99.20	0.26	
      1825	99.46	99.20	0.20	
      1887	98.68	99.20	0.26	
      1950	95.75	98.56	-1.28	
      2012	83.13	86.40	-1.26	
      2075	54.57	59.78	-4.84	
      2137	15.84	24.19	-0.89	
      2199	0.00	-2.56	-0.26	
      2262	0.00	-0.90	-1.92	
      2324	0.00	0.64	-1.28	
      2387	8.61	2.05	3.19	
      2449	28.36	16.00	9.62	
      2511	54.77	30.59	18.70	
      2574	80.88	44.42	33.28	
      2636	99.27	55.68	45.03	
      2699	100.05	66.05	36.95	
      2761	100.05	75.39	27.09	
      2823	100.05	84.99	17.11	
      2886	100.05	92.80	8.91	
      2948	98.29	99.20	0.61	
      3011	100.05	99.07	0.23	
      3073	97.51	99.33	0.16	
      3135	90.86	92.67	-1.36	
      3198	82.25	83.07	-2.36	
      3260	69.05	71.94	-4.02	
      3323	52.62	57.98	-5.42	
      3385	35.79	41.22	-4.68	
      3447	20.44	26.88	-2.51	
      3510	4.99	8.70	-0.43	
      3572	0.00	1.92	1.92	
      3635	0.00	-0.13	0.64	
      3697	0.00	1.28	-1.28	
      3759	0.00	1.28	-1.28	
      3822	5.28	1.79	2.05	
      3884	16.33	16.13	0.57	
      3947	29.05	25.34	2.73	
      4009	42.15	39.04	2.86	
      4071	56.04	50.30	6.08	
      4134	68.26	61.82	6.08	
      4196	75.31	71.81	4.79	
      4259	75.99	77.18	-1.22	
