Created	03/05/16 16:44:33
Calibration	antiwindup1_013_000

Timestamp (mS)	Accelerator_Pedal_Position	Electronic_Throttle_feedback	Error	
        47	12.91	13.44	-0.33	
       110	12.52	13.18	-0.73	
       172	12.42	13.06	-0.76	
       234	12.42	13.06	-0.64	
       297	12.42	13.06	-0.64	
       359	12.42	13.06	-0.64	
       422	12.42	13.06	-0.64	
       484	12.42	13.06	-0.64	
       546	12.42	13.06	-0.64	
       609	12.42	13.06	-0.64	
       671	12.42	13.06	-0.64	
       734	12.42	13.06	-0.64	
       796	12.42	13.06	-0.64	
       858	12.52	13.06	-0.64	
       921	12.42	13.06	-0.64	
       983	12.42	13.06	-0.64	
      1046	12.42	13.06	-0.64	
      1108	12.42	13.06	-0.64	
      1170	12.42	13.06	-0.64	
      1233	12.42	13.06	-0.64	
      1295	12.42	13.06	-0.64	
      1358	12.42	13.06	-0.64	
      1420	12.42	13.06	-0.64	
      1482	12.42	13.06	-0.64	
      1545	12.42	13.06	-0.64	
      1607	12.42	13.06	-0.64	
      1670	12.42	13.06	-0.64	
      1732	12.42	13.06	-0.64	
      1794	12.42	13.06	-0.64	
      1857	12.42	13.06	-0.64	
      1919	12.42	13.06	-0.64	
      1982	12.42	13.06	-0.54	
      2044	12.42	13.06	-0.64	
      2106	12.42	13.06	-0.64	
      2169	12.42	13.06	-0.64	
      2231	12.42	13.06	-0.64	
      2294	12.42	13.06	-0.64	
      2356	12.42	13.06	-0.64	
      2418	12.42	13.06	-0.64	
      2481	12.42	13.06	-0.64	
      2543	12.42	13.06	-0.64	
      2606	12.42	13.06	-0.64	
      2668	12.42	13.06	-0.64	
      2730	12.42	13.06	-0.64	
      2793	12.42	13.06	-0.64	
      2855	12.42	13.06	-0.64	
      2918	12.42	13.06	-0.64	
      2980	12.42	13.06	-0.64	
      3042	12.42	13.06	-0.64	
      3105	12.42	13.06	-0.64	
      3167	12.42	13.06	-0.64	
      3230	12.42	13.06	-0.64	
      3292	12.42	13.06	-0.64	
      3354	12.42	13.06	-0.64	
      3417	12.42	13.06	-0.54	
      3479	12.42	13.06	-0.54	
      3542	12.42	13.06	-0.64	
      3604	12.42	13.06	-0.54	
      3666	12.42	13.06	-0.64	
      3729	12.52	13.06	-0.64	
      3791	12.42	13.06	-0.64	
      3854	12.52	13.06	-0.64	
      3916	12.52	13.06	-0.64	
      3978	12.42	13.06	-0.64	
      4041	12.42	13.06	-0.64	
      4103	12.42	13.06	-0.54	
      4166	12.42	13.06	-0.64	
      4228	12.42	13.06	-0.64	
      4290	12.42	13.06	-0.64	
      4353	12.52	13.06	-0.64	
      4415	12.13	12.93	-0.73	
      4478	8.02	9.73	-1.57	
      4540	0.00	-1.02	-2.52	
      4602	0.00	-1.15	-1.02	
      4665	0.00	-0.64	-0.13	
      4727	0.00	0.00	0.26	
      4790	1.66	-0.77	6.03	
      4852	17.80	10.24	6.03	
      4914	35.70	25.60	8.01	
      4977	51.15	39.68	10.38	
      5039	64.65	51.07	13.47	
      5102	69.63	61.06	10.49	
      5164	69.63	70.53	1.18	
      5226	60.05	61.57	-1.67	
      5289	44.99	46.21	-2.95	
      5351	29.05	28.80	-3.68	
      5414	13.59	13.82	-4.31	
      5476	1.56	1.66	-2.85	
      5538	2.74	2.18	-1.23	
      5601	11.25	9.47	1.68	
      5663	32.57	25.09	4.91	
      5726	55.55	38.40	13.67	
      5788	71.98	50.05	19.86	
      5850	80.78	61.06	20.89	
      5913	81.37	71.81	12.69	
      5975	74.82	78.59	-0.55	
      6038	60.54	64.13	-3.19	
      6100	38.44	43.90	-4.08	
      6162	11.93	20.86	-1.60	
      6225	0.00	-1.28	5.38	
      6287	0.00	0.13	1.15	
      6350	0.00	1.15	0.90	
      6412	0.00	1.15	0.38	
      6474	1.17	-0.26	-0.13	
      6537	13.01	9.09	2.68	
      6599	29.44	24.83	2.78	
      6662	44.89	38.02	4.76	
      6724	62.20	50.30	9.48	
      6786	81.76	60.80	17.23	
      6849	93.01	71.30	21.71	
      6911	97.90	80.26	18.97	
      6974	98.68	89.22	11.77	
      7036	98.29	96.77	3.83	
      7098	96.04	97.54	-0.74	
      7161	89.39	91.39	-1.99	
      7223	74.62	75.26	-3.09	
      7286	48.31	49.66	-5.36	
      7348	24.65	28.80	-5.18	
      7410	5.18	10.50	-3.64	
      7473	0.00	2.05	0.00	
      7535	0.00	1.15	-2.30	
      7598	0.00	-0.26	-1.54	
      7660	0.00	0.64	-0.64	
