Created	03/05/16 16:38:58
Calibration	antiwindup1_013_000

Timestamp (mS)	Accelerator_Pedal_Position	Electronic_Throttle_feedback	Error	
        47	42.64	42.24	0.03	
       109	45.97	45.31	-0.13	
       171	49.88	49.54	0.37	
       234	54.38	54.27	0.33	
       296	58.68	57.60	1.76	
       359	63.18	60.93	1.58	
       421	68.66	67.33	0.15	
       483	74.03	73.73	0.69	
       546	81.27	79.87	1.51	
       608	89.29	87.68	2.15	
       671	95.94	95.49	0.87	
       733	99.95	99.20	0.93	
       795	99.95	99.20	0.75	
       858	100.05	99.20	0.98	
       920	100.05	99.46	0.85	
       983	100.05	99.20	0.85	
      1045	100.05	99.20	0.85	
      1107	100.05	99.71	0.47	
      1170	89.58	92.16	-3.23	
      1232	66.99	70.02	-5.94	
      1295	36.58	45.18	-7.23	
      1357	0.20	8.32	0.32	
      1419	0.00	3.58	1.54	
      1482	0.00	2.82	0.38	
      1544	0.00	2.69	-0.13	
      1607	6.65	6.40	1.26	
      1669	22.59	19.20	2.55	
      1731	39.90	32.77	5.94	
      1794	58.19	45.95	10.96	
      1856	72.76	56.96	14.92	
      1919	86.46	66.56	19.20	
      1981	96.72	76.80	20.14	
      2043	99.95	85.12	16.75	
      2106	100.05	92.93	8.79	
      2168	100.05	99.46	0.59	
      2231	100.05	99.46	0.59	
      2293	99.76	99.33	0.75	
      2355	100.05	98.69	1.78	
      2418	99.95	99.46	0.59	
      2480	97.21	98.82	-1.27	
      2543	92.52	95.10	-1.50	
      2605	87.04	89.09	-1.44	
      2667	81.57	84.22	-1.35	
      2730	76.28	78.98	-0.80	
      2792	69.93	72.70	-1.34	
      2855	62.30	64.77	-1.00	
      2917	55.26	58.11	-1.48	
      2979	48.70	51.58	-0.99	
      3042	43.03	45.31	-0.56	
      3104	37.46	39.81	-1.30	
      3167	33.25	35.33	-1.06	
      3229	28.46	30.85	-1.34	
      3292	24.74	26.75	-1.20	
      3354	20.73	22.91	-0.72	
      3416	15.94	18.18	-0.87	
      3479	11.44	13.31	-0.48	
      3541	8.51	9.86	-0.90	
      3604	7.53	8.19	-0.82	
      3666	7.43	8.19	-0.79	
      3728	9.68	9.09	0.47	
      3791	14.57	13.82	0.36	
      3853	19.76	20.22	1.05	
      3916	24.45	24.96	0.95	
      3978	28.75	27.52	0.90	
      4040	32.96	32.64	0.90	
      4103	37.75	36.35	1.24	
      4165	41.76	40.70	1.10	
      4228	45.18	44.03	0.69	
      4290	48.70	48.00	0.88	
      4352	52.62	51.71	0.82	
      4415	56.04	54.27	1.20	
      4477	59.95	58.88	0.06	
      4540	63.96	62.85	0.04	
      4602	67.58	66.18	0.37	
      4664	71.20	70.40	0.53	
