Created	03/26/16 15:32:55
Calibration	lab5_ecu1b_012_000

Timestamp (mS)	TPS	Messagecounts	AgeCount	Error	PPS	
        15	37.80	11197.00	0.00	1.98	39.78	
        78	37.80	11204.00	0.00	1.98	39.78	
       140	37.80	11210.00	1.00	1.98	39.78	
       202	37.80	11216.00	1.00	1.98	39.78	
       265	37.80	11222.00	1.00	1.98	39.78	
       327	37.80	11229.00	0.00	2.11	39.78	
       390	37.80	11235.00	1.00	1.98	39.78	
       452	37.67	11241.00	1.00	2.11	39.78	
       514	37.67	11247.00	0.00	2.11	39.78	
       577	37.80	11254.00	0.00	1.98	39.78	
       639	37.80	11260.00	1.00	1.98	39.78	
       702	37.80	11266.00	1.00	1.98	39.78	
       764	37.80	11272.00	1.00	1.98	39.78	
       826	37.80	11279.00	0.00	1.98	39.78	
       889	37.80	11285.00	0.00	1.98	39.78	
       951	37.80	11291.00	1.00	1.98	39.78	
      1014	37.80	11297.00	0.00	1.98	39.78	
      1076	37.80	11303.00	0.00	1.98	39.78	
      1138	37.80	11310.00	1.00	1.98	39.78	
      1201	37.80	11316.00	1.00	1.98	39.78	
      1263	37.80	11322.00	0.00	1.98	39.78	
      1326	37.80	11328.00	0.00	1.98	39.78	
      1388	37.80	11335.00	1.00	1.98	39.78	
      1450	37.80	11341.00	1.00	1.98	39.78	
      1513	37.80	11347.00	0.00	1.98	39.78	
      1575	37.80	11353.00	0.00	1.98	39.78	
      1638	37.80	11360.00	1.00	1.98	39.78	
      1700	37.80	11366.00	1.00	1.98	39.78	
      1762	37.80	11372.00	0.00	1.98	39.78	
      1825	37.80	11379.00	0.00	1.98	39.78	
      1887	37.80	11385.00	0.00	1.98	39.78	
      1950	37.80	11391.00	1.00	1.98	39.78	
      2012	37.80	11397.00	0.00	1.98	39.78	
      2074	37.80	11403.00	0.00	1.98	39.78	
      2137	37.80	11410.00	0.00	1.98	39.78	
      2199	37.80	11416.00	1.00	1.98	39.78	
      2262	37.80	11422.00	1.00	1.98	39.78	
      2324	37.80	11428.00	0.00	1.98	39.78	
      2386	37.80	11435.00	0.00	1.98	39.78	
      2449	37.80	11441.00	1.00	1.98	39.78	
      2511	37.80	11447.00	1.00	1.98	39.78	
      2574	37.80	11453.00	0.00	1.98	39.78	
      2636	37.67	11459.00	0.00	2.11	39.78	
      2698	37.80	11466.00	1.00	1.98	39.78	
      2761	37.80	11472.00	1.00	1.98	39.78	
      2823	37.80	11478.00	0.00	1.98	39.78	
      2886	37.80	11484.00	1.00	2.11	39.78	
      2948	37.80	11491.00	1.00	1.98	39.78	
      3010	37.80	11497.00	1.00	1.98	39.78	
      3073	37.80	11503.00	0.00	1.98	39.78	
      3135	37.80	11510.00	1.00	1.98	39.78	
      3198	37.80	11516.00	1.00	1.98	39.78	
      3260	37.80	11522.00	0.00	1.98	39.78	
      3322	37.80	11528.00	0.00	1.98	39.78	
      3385	37.80	11534.00	0.00	1.98	39.78	
      3447	37.67	11541.00	1.00	2.11	39.78	
      3510	37.80	11547.00	0.00	1.98	39.78	
      3572	37.80	11553.00	0.00	1.98	39.78	
      3634	37.80	11559.00	0.00	1.98	39.78	
      3697	37.80	11566.00	1.00	1.98	39.78	
      3759	37.80	11572.00	1.00	1.98	39.78	
      3822	37.80	11578.00	0.00	1.98	39.78	
      3884	37.80	11584.00	0.00	1.98	39.78	
      3946	37.80	11591.00	1.00	1.98	39.78	
      4009	37.80	11597.00	1.00	1.98	39.78	
      4071	37.80	11603.00	0.00	1.98	39.78	
      4134	37.80	11609.00	0.00	1.98	39.78	
      4196	37.80	11616.00	1.00	1.98	39.78	
      4258	37.80	11622.00	1.00	1.98	39.78	
      4321	37.67	11628.00	0.00	2.11	39.78	
      4383	37.80	11634.00	0.00	1.98	39.88	
      4446	37.80	11641.00	1.00	1.98	39.78	
      4508	37.80	11647.00	1.00	2.08	39.88	
      4570	37.80	11653.00	1.00	1.98	39.78	
      4633	37.67	11659.00	0.00	2.11	39.78	
      4695	37.80	11666.00	1.00	1.98	39.78	
      4758	37.80	11672.00	1.00	1.98	39.78	
      4820	37.80	11678.00	1.00	1.98	39.78	
      4882	37.80	11684.00	0.00	1.98	39.78	
      4945	37.80	11691.00	0.00	1.98	39.78	
      5007	37.80	11697.00	1.00	1.98	39.78	
      5070	37.80	11703.00	0.00	1.98	39.78	
      5132	37.80	11709.00	0.00	1.98	39.78	
      5194	37.80	11715.00	0.00	1.98	39.78	
      5257	37.67	11722.00	1.00	2.11	39.78	
      5319	37.67	11728.00	0.00	2.11	39.78	
      5382	37.80	11734.00	0.00	1.98	39.78	
      5444	37.80	11740.00	1.00	1.98	39.78	
      5506	37.80	11747.00	1.00	1.98	39.78	
      5569	37.67	11753.00	0.00	2.11	39.78	
      5631	37.80	11759.00	0.00	1.98	39.78	
      5694	37.67	11765.00	1.00	2.11	39.78	
      5756	37.80	11772.00	1.00	1.98	39.78	
      5818	37.80	11778.00	1.00	1.98	39.78	
      5881	37.80	11784.00	0.00	1.98	39.78	
      5943	37.80	11790.00	2.00	1.98	39.78	
      6006	37.80	11792.00	13.00	1.98	39.78	
      6068	37.80	11792.00	26.00	1.98	39.78	
      6130	37.80	11792.00	38.00	1.98	39.78	
      6193	37.80	11792.00	51.00	1.98	39.78	
      6255	37.80	11792.00	63.00	1.98	39.78	
      6318	37.80	11792.00	75.00	1.98	39.78	
      6380	37.80	11792.00	88.00	1.98	39.78	
      6442	37.80	11792.00	100.00	1.98	39.78	
      6505	37.80	11792.00	113.00	1.98	39.78	
      6567	37.80	11792.00	125.00	1.98	39.78	
      6630	37.80	11792.00	138.00	1.98	39.78	
      6692	37.80	11792.00	150.00	1.98	39.78	
      6754	37.80	11792.00	163.00	1.98	39.78	
      6817	37.80	11792.00	175.00	1.98	39.78	
      6879	37.80	11792.00	188.00	1.98	39.78	
      6942	37.80	11792.00	200.00	1.98	39.78	
      7004	37.80	11792.00	213.00	1.98	39.78	
      7066	37.80	11792.00	226.00	1.98	39.78	
      7129	37.80	11792.00	238.00	1.98	39.78	
      7191	37.80	11792.00	251.00	1.98	39.78	
      7254	37.80	11792.00	263.00	1.98	39.78	
      7316	37.80	11792.00	275.00	1.98	39.78	
      7378	37.80	11792.00	288.00	1.98	39.78	
      7441	37.80	11792.00	300.00	1.98	39.78	
      7503	37.80	11792.00	313.00	1.98	39.78	
      7566	37.80	11792.00	325.00	1.98	39.78	
      7628	37.80	11792.00	338.00	1.98	39.78	
      7690	37.80	11792.00	350.00	1.98	39.78	
      7753	37.80	11792.00	363.00	1.98	39.78	
      7815	37.80	11792.00	375.00	1.98	39.78	
      7878	37.80	11792.00	388.00	1.98	39.78	
      7940	37.80	11792.00	400.00	1.98	39.78	
      8002	37.80	11792.00	413.00	1.98	39.78	
      8065	37.80	11792.00	426.00	1.98	39.78	
      8127	37.80	11792.00	438.00	1.98	39.78	
      8190	37.80	11792.00	450.00	1.98	39.78	
      8252	37.80	11792.00	463.00	1.98	39.78	
      8314	37.80	11792.00	475.00	1.98	39.78	
      8377	37.80	11792.00	488.00	1.98	39.78	
      8439	37.80	11792.00	500.00	1.98	39.78	
      8502	37.80	11792.00	512.00	1.98	39.78	
      8564	37.80	11792.00	525.00	1.98	39.78	
      8626	37.80	11792.00	537.00	1.98	39.78	
      8689	37.80	11792.00	550.00	1.98	39.78	
      8751	37.80	11792.00	563.00	1.98	39.78	
      8814	37.80	11792.00	575.00	1.98	39.78	
      8876	37.80	11792.00	588.00	1.98	39.78	
      8938	37.80	11792.00	600.00	1.98	39.78	
      9001	37.80	11792.00	613.00	1.98	39.78	
      9063	37.80	11792.00	625.00	1.98	39.78	
      9126	37.80	11792.00	638.00	1.98	39.78	
      9188	37.80	11792.00	650.00	1.98	39.78	
      9250	37.80	11792.00	663.00	1.98	39.78	
      9313	37.80	11792.00	675.00	1.98	39.78	
      9375	37.80	11792.00	688.00	1.98	39.78	
      9438	37.80	11792.00	700.00	1.98	39.78	
      9500	37.80	11792.00	712.00	1.98	39.78	
      9562	37.80	11792.00	725.00	1.98	39.78	
      9625	37.80	11792.00	738.00	1.98	39.78	
      9687	37.80	11792.00	750.00	1.98	39.78	
      9750	37.80	11792.00	763.00	1.98	39.78	
      9812	37.80	11792.00	775.00	1.98	39.78	
      9874	37.80	11792.00	787.00	1.98	39.78	
      9937	37.80	11792.00	800.00	1.98	39.78	
      9999	37.80	11792.00	812.00	1.98	39.78	
     10062	37.80	11792.00	825.00	1.98	39.78	
     10124	37.80	11792.00	838.00	1.98	39.78	
     10186	37.80	11792.00	850.00	1.98	39.78	
     10249	37.80	11792.00	862.00	1.98	39.78	
     10311	37.80	11792.00	875.00	1.98	39.78	
     10374	37.80	11792.00	887.00	1.98	39.78	
     10436	37.80	11792.00	900.00	1.98	39.78	
     10498	37.80	11792.00	912.00	1.98	39.78	
     10561	37.80	11792.00	925.00	1.98	39.78	
     10623	37.80	11792.00	937.00	1.98	39.78	
     10686	37.80	11792.00	950.00	1.98	39.78	
